H,Z
1.0,0.946274
1.04,0.984073
1.08,1.022092
1.12,1.060339
1.16,1.098823
1.2,1.137554
1.24,1.176545
1.28,1.215809
1.32,1.255359
1.36,1.295211
1.4,1.335385
1.44,1.375897
1.48,1.416771
1.56,1.499697
1.64,1.584379
1.72,1.671078
1.8,1.760115
1.88,1.851883
1.96,1.946872
2.0,2.006348
2.04,2.056157
2.08,2.107123
2.12,2.159363
2.16,2.213012
2.2,2.268224
2.24,2.325176
2.28,2.384074
2.32,2.445159
2.36,2.508714
2.4,2.575073
2.44,2.644633
2.48,2.717872
2.52,2.795369
2.56,2.877834
2.6,2.966143
2.64,3.061394
2.68,3.164983
2.72,3.278709
2.76,3.404936
2.8,3.546827
2.84,3.708715
2.88,3.896684
2.92,4.119527
2.96,4.390295
3.0,4.690585
3.04,5.086015
3.08,5.563784
3.12,6.039279
3.16,6.173742
3.2,5.961831
3.24,6.273803
3.28,7.092772
3.32,8.465152
3.36,7.540936
3.4,4.666801
3.44,2.634298
3.48,1.415353
3.52,0.789784
3.56,0.656172
3.6,0.764983
3.64,0.990415
3.68,0.99748
3.72,1.156296
3.76,1.353628
3.8,1.52527
3.84,1.673661
3.88,1.804351
3.92,1.921389
3.96,2.027632
4.0,2.126755
4.04,2.216976
4.08,2.301291
4.12,2.380617
4.16,2.45569
4.2,2.527108
4.24,2.595361
4.28,2.660855
4.36,2.784879
4.44,2.901325
4.52,3.011767
4.6,3.117384
4.68,3.219078
4.76,3.317555
4.84,3.413374
4.92,3.506983
4.96,3.553077
5.0,3.600373
5.04,3.645675
5.08,3.690624
5.12,3.735251
5.16,3.779584
5.2,3.823648
5.24,3.867468
5.28,3.911064
5.32,3.954458
5.36,3.997668
5.4,4.040712
5.44,4.083606
5.52,4.169007
5.6,4.253983
5.68,4.338637
5.76,4.423061
5.84,4.507337
5.92,4.591543
5.96,4.633642
6.0,4.677485
6.04,4.71961
6.08,4.761761
6.12,4.803945
6.16,4.84617
6.2,4.888444
6.24,4.930775
6.28,4.97317
6.32,5.015637
6.36,5.058182
6.4,5.100815
6.44,5.143541
6.52,5.229307
6.6,5.315541
6.68,5.402306
6.76,5.489665
6.84,5.577688
6.92,5.666445
6.96,5.711122
7.0,5.757708
7.04,5.802818
7.08,5.848161
7.12,5.893749
7.16,5.939593
7.2,5.985705
7.24,6.032098
7.28,6.078786
7.32,6.125782
7.36,6.173101
7.4,6.220758
7.44,6.26877
7.52,6.365927
7.6,6.464722
7.68,6.565325
7.76,6.667924
7.84,6.772739
7.92,6.880016
7.96,6.934667
8.0,6.991665
8.04,7.047807
8.08,7.104766
8.12,7.162591
8.16,7.221337
8.2,7.281063
8.24,7.341835
8.28,7.403723
8.32,7.466803
8.36,7.531162
8.4,7.596891
8.44,7.664092
8.48,7.73288
8.52,7.803378
8.56,7.875725
8.6,7.950076
8.64,8.026603
8.68,8.105499
8.72,8.186979
8.76,8.271289
8.8,8.358704
8.84,8.449539
8.88,8.54415
8.92,8.642948
8.96,8.746404
9.0,8.8562
9.04,8.970621
9.08,9.091607
9.12,9.220029
9.16,9.356917
9.2,9.503498
9.24,9.66125
9.28,9.831962
9.32,10.017822
9.36,10.221531
9.4,10.446459
9.44,10.696861
9.48,10.978175
9.52,11.29744
9.56,11.6639
9.6,12.089867
9.64,12.59196
9.68,13.192846
9.72,13.92349
