time,Ia,Ib,Ic
0.05,0.0,-20.0,-10.0
0.050025,15.0,-15.0,-10.0
0.05005,10.0,-5.0,5.0
0.050075,0.0,-20.0,5.0
0.0501,-5.0,-5.0,0.0
0.050125,0.0,-5.0,0.0
0.05015,0.0,-5.0,0.0
0.050175,10.0,-5.0,0.0
0.0502,10.0,-5.0,0.0
0.050225,10.0,-15.0,0.0
0.05025,0.0,-5.0,-10.0
0.050275,0.0,-15.0,0.0
0.0503,-10.0,0.0,-10.0
0.050325,10.0,-5.0,0.0
0.05035,0.0,0.0,0.0
0.050375,10.0,-15.0,-10.0
0.0504,-5.0,-15.0,0.0
0.050425,10.0,-20.0,0.0
0.05045,0.0,-15.0,0.0
0.050475,0.0,-15.0,0.0
0.0505,0.0,0.0,0.0
0.050525,-10.0,-15.0,0.0
0.05055,10.0,0.0,0.0
0.050575,0.0,-5.0,-10.0
0.0506,15.0,-5.0,-15.0
0.050625,15.0,-25.0,-15.0
0.05065,0.0,-20.0,-15.0
0.050675,0.0,-5.0,0.0
0.0507,0.0,-15.0,-10.0
0.050725,-5.0,-5.0,0.0
0.05075,-5.0,0.0,5.0
0.050775,10.0,-15.0,5.0
0.0508,0.0,-15.0,0.0
0.050825,15.0,-5.0,5.0
0.05085,10.0,-20.0,0.0
0.050875,10.0,-15.0,0.0
0.0509,0.0,-5.0,0.0
0.050925,0.0,0.0,-10.0
0.05095,-10.0,-15.0,-10.0
0.050975,0.0,-15.0,0.0
0.051,0.0,-5.0,-10.0
0.051025,10.0,-15.0,0.0
0.05105,10.0,-20.0,0.0
0.051075,10.0,-20.0,0.0
0.0511,10.0,-15.0,0.0
0.051125,0.0,-15.0,0.0
0.05115,0.0,0.0,0.0
0.051175,-5.0,-15.0,5.0
0.0512,-5.0,-5.0,0.0
0.051225,0.0,-5.0,0.0
0.05125,10.0,0.0,0.0
0.051275,0.0,-20.0,-20.0
0.0513,0.0,-15.0,0.0
0.051325,0.0,-15.0,-10.0
0.05135,10.0,-5.0,-10.0
0.051375,-5.0,-5.0,0.0
0.0514,-10.0,-5.0,0.0
0.051425,10.0,-15.0,10.0
0.05145,0.0,-15.0,10.0
0.051475,10.0,-15.0,0.0
0.0515,10.0,-15.0,0.0
0.051525,10.0,-15.0,0.0
0.05155,0.0,-5.0,0.0
0.051575,10.0,0.0,0.0
0.0516,-5.0,-5.0,-10.0
0.051625,0.0,-15.0,-10.0
0.05165,0.0,-15.0,0.0
0.051675,10.0,-15.0,-10.0
0.0517,0.0,-25.0,0.0
0.051725,0.0,-20.0,5.0
0.05175,0.0,0.0,5.0
0.051775,10.0,-5.0,-10.0
0.0518,0.0,-5.0,-10.0
0.051825,-5.0,0.0,-10.0
0.05185,10.0,-5.0,0.0
0.051875,0.0,-5.0,5.0
0.0519,15.0,0.0,0.0
0.051925,10.0,-20.0,0.0
0.05195,0.0,-20.0,-20.0
0.051975,10.0,-15.0,-15.0
0.052,0.0,-15.0,0.0
0.052025,-10.0,-5.0,0.0
0.05205,-5.0,-5.0,0.0
0.052075,0.0,-5.0,5.0
0.0521,0.0,-5.0,5.0
0.052125,10.0,-5.0,0.0
0.05215,0.0,-15.0,5.0
0.052175,0.0,-15.0,0.0
0.0522,0.0,-15.0,-10.0
0.052225,10.0,0.0,0.0
0.05225,-5.0,-15.0,5.0
