H,dt1,dt2,mean,uquant,lquant
1,0.05,0.08,1.2115991963960857,1.3545071030592535,1.1363150283479782
2,0.05,0.08,2.1677215637230542,2.2628915536688865,1.9814093677288822
3,0.05,0.08,3.5988886994000784,4.0245097320590535,3.340811534377869
4,0.05,0.08,3.3100023437682387,3.900554281837244,2.8228795592916196
5,0.05,0.08,4.271562110146592,4.674276265565759,4.024615387323475
6,0.05,0.08,5.607884675264015,5.977548199842668,5.082792927653128
7,0.05,0.08,6.797905947649812,7.618988746623861,4.975775760164944
8,0.05,0.08,8.287019471007834,9.257975600489006,6.889427695411512
9,0.05,0.08,10.02384976718849,11.147422404684354,8.431208428975367
10,0.05,0.08,11.045952017826487,11.708731503648464,10.017374404666791
11,0.05,0.08,9.435070649142139,11.624686132084314,6.53673098054476
12,0.05,0.06,11.780566121537941,13.265551852042485,10.178955160932054
13,0.05,0.08,11.977194837910517,18.329402008166742,8.143197551022444
14,0.05,0.08,12.51194128574028,16.483826691947254,6.132617913426201
15,0.09,0.095,14.982338072762747,17.57786106400085,11.9947205505215
16,0.11,0.12,15.314606520632017,23.98985854483759,9.231782404088154
17,0.13,0.14,18.745780952868554,21.732845993325117,16.730876376319806
18,0.35,0.36,21.990895576969397,24.59987926611271,19.596352078554233
19,0.21,0.22,22.037165065702304,24.49707148378383,19.45222909279151
20,0.21,0.22,23.65362686944048,25.873240186377323,21.33720907342404
21,0.21,0.22,29.441987239268844,45.16546301823799,15.04092577470741
22,0.44,0.45,32.339891616813944,36.52053522627966,25.489019206312122
23,0.51,0.52,41.13080724553512,44.68656270273898,34.14570565005571
24,0.6,0.61,45.09454251903779,54.61005870698399,33.92027962536916
25,0.47,0.48,59.20221376410173,60.808482444865724,55.86699820895278
26,0.71,0.72,62.07595434492164,68.1383259374097,58.618030027423416
27,0.46,0.47,74.90872247684531,82.76341677911515,70.5724554110633
28,0.44,0.45,93.9027184369879,108.85958227321291,85.93934002244487
29,0.54,0.55,178.5919833452279,188.95699755991112,169.11510060887161
