time,Va,Vb,Vc
0.05,-3240.0,-23400.0,26604.0
0.050025,-3024.0,-23508.0,26532.0
0.05005,-2808.0,-23616.0,26388.0
0.050075,-2556.0,-23724.0,26316.0
0.0501,-2340.0,-23868.0,26208.0
0.050125,-2196.0,-23940.0,26100.0
0.05015,-1980.0,-24048.0,25992.0
0.050175,-1728.0,-24156.0,25884.0
0.0502,-1548.0,-24228.0,25776.0
0.050225,-1332.0,-24336.0,25632.0
0.05025,-1116.0,-24444.0,25560.0
0.050275,-936.0,-24552.0,25452.0
0.0503,-720.0,-24696.0,25380.0
0.050325,-468.0,-24840.0,25272.0
0.05035,-288.0,-24948.0,25164.0
0.050375,-72.0,-25056.0,25092.0
0.0504,180.0,-25164.0,24984.0
0.050425,360.0,-25272.0,24912.0
0.05045,576.0,-25380.0,24732.0
0.050475,792.0,-25488.0,24624.0
0.0505,1080.0,-25632.0,24516.0
0.050525,1296.0,-25740.0,24408.0
0.05055,1548.0,-25812.0,24264.0
0.050575,1800.0,-25920.0,24156.0
0.0506,2016.0,-26028.0,24012.0
0.050625,2232.0,-26100.0,23832.0
0.05065,2448.0,-26172.0,23688.0
0.050675,2700.0,-26244.0,23580.0
0.0507,2916.0,-26316.0,23436.0
0.050725,3132.0,-26424.0,23292.0
0.05075,3312.0,-26496.0,23148.0
0.050775,3564.0,-26604.0,22968.0
0.0508,3744.0,-26640.0,22860.0
0.050825,3960.0,-26712.0,22752.0
0.05085,4176.0,-26784.0,22608.0
0.050875,4428.0,-26856.0,22464.0
0.0509,4608.0,-26964.0,22320.0
0.050925,4824.0,-27036.0,22212.0
0.05095,5040.0,-27108.0,22032.0
0.050975,5292.0,-27180.0,21888.0
0.051,5544.0,-27288.0,21744.0
0.051025,5760.0,-27360.0,21564.0
0.05105,6012.0,-27432.0,21420.0
0.051075,6264.0,-27504.0,21204.0
0.0511,6480.0,-27576.0,21024.0
0.051125,6732.0,-27648.0,20880.0
0.05115,6984.0,-27720.0,20736.0
0.051175,7236.0,-27792.0,20556.0
0.0512,7452.0,-27864.0,20376.0
0.051225,7668.0,-27936.0,20196.0
0.05125,7920.0,-28008.0,20088.0
0.051275,8172.0,-28044.0,19944.0
0.0513,8388.0,-28116.0,19764.0
0.051325,8568.0,-28188.0,19656.0
0.05135,8784.0,-28296.0,19440.0
0.051375,9036.0,-28332.0,19296.0
0.0514,9216.0,-28404.0,19152.0
0.051425,9432.0,-28440.0,19008.0
0.05145,9648.0,-28476.0,18900.0
0.051475,9864.0,-28548.0,18720.0
0.0515,10080.0,-28584.0,18504.0
0.051525,10260.0,-28620.0,18360.0
0.05155,10512.0,-28656.0,18180.0
0.051575,10692.0,-28656.0,18000.0
0.0516,10872.0,-28692.0,17820.0
0.051625,11088.0,-28728.0,17640.0
0.05165,11304.0,-28728.0,17424.0
0.051675,11520.0,-28728.0,17244.0
0.0517,11664.0,-28728.0,17100.0
0.051725,11844.0,-28728.0,16884.0
0.05175,12024.0,-28728.0,16704.0
0.051775,12204.0,-28728.0,16524.0
0.0518,12420.0,-28692.0,16344.0
0.051825,12600.0,-28728.0,16200.0
0.05185,12780.0,-28728.0,16020.0
0.051875,12960.0,-28764.0,15804.0
0.0519,13212.0,-28764.0,15624.0
0.051925,13392.0,-28764.0,15444.0
0.05195,13608.0,-28800.0,15264.0
0.051975,13788.0,-28800.0,15048.0
0.052,14040.0,-28836.0,14868.0
0.052025,14220.0,-28836.0,14688.0
0.05205,14436.0,-28872.0,14508.0
0.052075,14616.0,-28872.0,14328.0
0.0521,14868.0,-28908.0,14076.0
0.052125,15048.0,-28872.0,13896.0
0.05215,15228.0,-28872.0,13716.0
0.052175,15372.0,-28836.0,13536.0
0.0522,15552.0,-28800.0,13320.0
0.052225,15732.0,-28764.0,13068.0
0.05225,15912.0,-28764.0,12888.0
0.052275,16092.0,-28728.0,12672.0
0.0523,16272.0,-28692.0,12492.0
0.052325,16416.0,-28656.0,12240.0
0.05235,16668.0,-28620.0,12024.0
0.052375,16848.0,-28620.0,11844.0
0.0524,17028.0,-28584.0,11628.0
0.052425,17208.0,-28512.0,11376.0
0.05245,17424.0,-28512.0,11160.0
0.052475,17604.0,-28476.0,10944.0
0.0525,17784.0,-28440.0,10728.0
0.052525,18000.0,-28440.0,10512.0
0.05255,18144.0,-28440.0,10296.0
0.052575,18396.0,-28404.0,10080.0
0.0526,18576.0,-28332.0,9864.0
0.052625,18756.0,-28332.0,9648.0
0.05265,18900.0,-28296.0,9432.0
0.052675,19116.0,-28260.0,9216.0
0.0527,19260.0,-28188.0,9036.0
0.052725,19440.0,-28116.0,8784.0
0.05275,19620.0,-28044.0,8568.0
0.052775,19764.0,-27972.0,8352.0
0.0528,19944.0,-27936.0,8100.0
0.052825,20088.0,-27864.0,7884.0
0.05285,20268.0,-27792.0,7668.0
0.052875,20448.0,-27756.0,7452.0
0.0529,20592.0,-27684.0,7200.0
0.052925,20736.0,-27648.0,6948.0
0.05295,20916.0,-27612.0,6732.0
0.052975,21096.0,-27576.0,6552.0
0.053,21204.0,-27504.0,6300.0
0.053025,21420.0,-27468.0,6120.0
0.05305,21564.0,-27432.0,5904.0
0.053075,21780.0,-27396.0,5688.0
0.0531,21960.0,-27324.0,5472.0
0.053125,22140.0,-27288.0,5220.0
0.05315,22284.0,-27180.0,5004.0
0.053175,22464.0,-27108.0,4752.0
0.0532,22644.0,-27072.0,4536.0
0.053225,22788.0,-26964.0,4284.0
0.05325,22968.0,-26892.0,4068.0
0.053275,23112.0,-26820.0,3852.0
0.0533,23256.0,-26748.0,3636.0
0.053325,23364.0,-26640.0,3348.0
0.05335,23508.0,-26568.0,3168.0
0.053375,23616.0,-26460.0,2952.0
0.0534,23688.0,-26316.0,2736.0
0.053425,23796.0,-26172.0,2520.0
0.05345,23868.0,-26064.0,2304.0
0.053475,23976.0,-25992.0,2124.0
0.0535,24084.0,-25884.0,1908.0
0.053525,24156.0,-25776.0,1656.0
0.05355,24300.0,-25668.0,1476.0
0.053575,24444.0,-25596.0,1260.0
0.0536,24516.0,-25488.0,1008.0
0.053625,24660.0,-25380.0,792.0
0.05365,24804.0,-25272.0,612.0
0.053675,24948.0,-25200.0,360.0
0.0537,25056.0,-25128.0,144.0
0.053725,25200.0,-25020.0,-108.0
0.05375,25308.0,-24912.0,-324.0
0.053775,25452.0,-24840.0,-540.0
0.0538,25560.0,-24696.0,-756.0
0.053825,25632.0,-24552.0,-972.0
0.05385,25704.0,-24408.0,-1188.0
0.053875,25812.0,-24300.0,-1404.0
0.0539,25884.0,-24156.0,-1656.0
0.053925,25956.0,-24012.0,-1908.0
0.05395,26064.0,-23868.0,-2124.0
0.053975,26136.0,-23688.0,-2304.0
0.054,26208.0,-23544.0,-2520.0
0.054025,26280.0,-23436.0,-2772.0
0.05405,26352.0,-23292.0,-2952.0
0.054075,26424.0,-23184.0,-3168.0
0.0541,26496.0,-23040.0,-3384.0
0.054125,26568.0,-22932.0,-3564.0
0.05415,26640.0,-22716.0,-3816.0
0.054175,26748.0,-22608.0,-4032.0
0.0542,26820.0,-22500.0,-4248.0
0.054225,26964.0,-22356.0,-4464.0
0.05425,27036.0,-22248.0,-4716.0
0.054275,27108.0,-22068.0,-4968.0
0.0543,27216.0,-21924.0,-5184.0
0.054325,27288.0,-21744.0,-5436.0
0.05435,27396.0,-21600.0,-5688.0
0.054375,27432.0,-21456.0,-5904.0
0.0544,27504.0,-21276.0,-6156.0
0.054425,27576.0,-21096.0,-6408.0
0.05445,27648.0,-20916.0,-6660.0
0.054475,27684.0,-20736.0,-6876.0
0.0545,27792.0,-20556.0,-7092.0
0.054525,27828.0,-20412.0,-7344.0
0.05455,27864.0,-20196.0,-7560.0
0.054575,27936.0,-20016.0,-7740.0
0.0546,28008.0,-19872.0,-7992.0
0.054625,28044.0,-19728.0,-8208.0
0.05465,28080.0,-19584.0,-8424.0
0.054675,28152.0,-19440.0,-8640.0
0.0547,28188.0,-19260.0,-8820.0
0.054725,28260.0,-19116.0,-9072.0
0.05475,28332.0,-18972.0,-9252.0
0.054775,28368.0,-18828.0,-9468.0
0.0548,28440.0,-18684.0,-9684.0
0.054825,28512.0,-18540.0,-9900.0
0.05485,28548.0,-18360.0,-10116.0
0.054875,28620.0,-18180.0,-10332.0
0.0549,28692.0,-18036.0,-10512.0
0.054925,28692.0,-17856.0,-10764.0
0.05495,28728.0,-17676.0,-10944.0
0.054975,28728.0,-17460.0,-11160.0
0.055,28764.0,-17316.0,-11340.0
0.055025,28764.0,-17136.0,-11520.0
0.05505,28764.0,-16956.0,-11772.0
0.055075,28800.0,-16704.0,-11952.0
0.0551,28800.0,-16524.0,-12132.0
0.055125,28800.0,-16380.0,-12348.0
0.05515,28800.0,-16164.0,-12564.0
0.055175,28764.0,-15984.0,-12744.0
0.0552,28800.0,-15768.0,-12924.0
